Nome do jogo;Gênero;Desenvolvedora;Console;Data de conclusão;Tempo (em float);Ano de lançamento
Resident Evil: Village;Survival Horror;Capcom;PC;10/12/21;10,03;2021
Call of Juarez: Gunslinger;Tiro em Primeira Pessoa;Techland;PC;14/12/21;4,8;2013
Final Fantasy VII Remake;RPG;Square Enix;PC;14/01/22;37,33;2020
God of War (2018);RPG de Ação;Santa Monica Studios;PC;29/01/22;28,75;2018
Mafia: Definitive Edition;Ação;Hangar 13;PC;01/02/22;13,2;2020
Mega Man (Legacy Collection);Plataforma;Capcom;Nintendo 8-bits;11/02/22;5;1987
Mega Man 2 (Legacy Collection);Plataforma;Capcom;Nintendo 8-bits;14/02/22;4,5;1988
Mega Man 3 (Legacy Collection);Plataforma;Capcom;Nintendo 8-bits;15/02/22;3;1990
Mega Man 4 (Legacy Collection);Plataforma;Capcom;Nintendo 8-bits;16/02/22;2,5;1991
Mega Man 5 (Legacy Collection);Plataforma;Capcom;Nintendo 8-bits;18/02/22;3;1992
Mega Man 6 (Legacy Collection);Plataforma;Capcom;Nintendo 8-bits;18/02/22;2,83;1993
Mega Man 7 (Legacy Collection);Plataforma;Capcom;Super Nintendo;24/02/22;5;1995
Crysis 2;Tiro em Primeira Pessoa;EA Games;PC;08/05/22;7,47;2011
Destroy All Humans!;Plataforma;THQ Nordic;PC;08/05/22;10;2020
Battlefield V;Tiro em Primeira Pessoa;EA Games;PC;23/05/22;7;2018
Sonic The Hedgehog 4 Episode 1;Plataforma;SEGA;PC;15/06/22;4;2010
Teenage Mutant Ninja Turtles: Shredder's Revenge;Beat 'em Up;Dotemu;PC;09/07/22;4;2022
Reventure;Plataforma;Pixelatto;PC;12/07/22;17;2019
Call of Duty: Black Ops III;Tiro em Primeira Pessoa;Activision;PC;06/08/22;12;2015
NieR: Automata;RPG de Ação;Square Enix;PC;10/08/22;11,05;2017
State of Decay 2 GOTY;Survival Horror;Undead Labs;PC;08/09/22;37;2018
Slime Rancher;Aventura;Monomi Park;PC;12/09/22;22;2016
Crash Bandicoot: The Wrath of Cortex;Plataforma;Traveller's Tales;PlayStation 2;27/09/22;8;2001
Marvel's Spider Man Remastered;Aventura;Insomniac Games;PC;07/10/22;18;2018
Marvel's Spider Man Miles Morales ;Aventura;Insomniac Games;PC;15/10/22;8;2020
